,dates,rank,book_name,author,genre,hour,minute
3,2019-11-25,4,나는 농담으로 과학을 말한다,오후,과학일반,14,40
4,2019-11-25,5,제왕업,메이위저/zipcy,중국 소설,14,40
5,2019-11-25,6,직지,김진명,한국소설,14,40
6,2019-11-25,7,초격차,권오현,경영일반,14,40
7,2019-11-25,8,트렌드 코리아 2020,김난도,마케팅/세일즈,14,40
8,2019-11-25,9,에이트,이지성,성공/삶의자세,14,40
9,2019-11-25,10,타이탄의 도구들,티모시 페리스,성공/삶의자세,14,40
10,2019-11-25,11,일의 기쁨과 슬픔,장류진,한국소설,14,40
11,2019-11-25,12,사피엔스,유발 하라리,인문,14,40
0,2019-11-25,1,가재가 노래하는 곳,델리아 오언스,영미소설,15,0
1,2019-11-25,2,90년생이 온다,임홍택,경제일반,15,0
2,2019-11-25,3,해리 포터 시리즈,조앤.K.롤링,영미소설,15,0
3,2019-11-25,4,트렌드 코리아 2020,김난도,마케팅/세일즈,15,0
4,2019-11-25,5,초격차,권오현,경영일반,15,0
5,2019-11-25,6,나는 농담으로 과학을 말한다,오후,과학일반,15,0
6,2019-11-25,7,하마터면 열심히 살 뻔했다,하완,에세이,15,0
7,2019-11-25,8,도파민형 인간,대니얼 Z. 리버먼,성공/삶의자세,15,0
8,2019-11-25,9,마션,앤디 위어,영미소설,15,0
9,2019-11-25,10,당신이 화내는 진짜 이유,EBS 〈당신이 화내는 진짜 이유〉 제작팀,성공/삶의자세,15,0
10,2019-11-25,11,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,15,0
11,2019-11-25,12,아주 작은 습관의 힘,제임스 클리어,성공/삶의자세,15,0
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,15,20
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,15,20
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,15,20
3,2019-11-25,4,일의 기쁨과 슬픔,장류진,한국소설,15,20
4,2019-11-25,5,제왕업,메이위저/zipcy,중국 소설,15,20
5,2019-11-25,6,드래곤 라자,이영도,국내 판타지 소설,15,20
6,2019-11-25,7,돈의 감각,이명로,경제일반,15,20
7,2019-11-25,8,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,15,20
8,2019-11-25,9,플랫폼 제국의 미래,스콧 갤러웨이,CEO/리더십,15,20
9,2019-11-25,10,검사내전,김웅,정치/사회,15,20
10,2019-11-25,11,나는 농담으로 과학을 말한다,오후,과학일반,15,20
11,2019-11-25,12,직지,김진명,한국소설,15,20
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,15,40
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,15,40
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,15,40
3,2019-11-25,4,아주 작은 습관의 힘,제임스 클리어,성공/삶의자세,15,40
4,2019-11-25,5,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,15,40
5,2019-11-25,6,직지,김진명,한국소설,15,40
6,2019-11-25,7,에이트,이지성,성공/삶의자세,15,40
7,2019-11-25,8,타이탄의 도구들,티모시 페리스,성공/삶의자세,15,40
8,2019-11-25,9,초격차,권오현,경영일반,15,40
9,2019-11-25,10,제왕업,메이위저/zipcy,중국 소설,15,40
10,2019-11-25,11,일의 기쁨과 슬픔,장류진,한국소설,15,40
11,2019-11-25,12,영어책 한권 외워봤니?,김민식,성공/삶의자세,15,40
0,2019-11-25,1,가재가 노래하는 곳,델리아 오언스,영미소설,16,0
1,2019-11-25,2,90년생이 온다,임홍택,경제일반,16,0
2,2019-11-25,3,영어책 한권 외워봤니?,김민식,성공/삶의자세,16,0
3,2019-11-25,4,해리 포터 시리즈,조앤.K.롤링,영미소설,16,0
4,2019-11-25,5,아주 작은 습관의 힘,제임스 클리어,성공/삶의자세,16,0
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,16,0
6,2019-11-25,7,제왕업,메이위저/zipcy,중국 소설,16,0
7,2019-11-25,8,직지,김진명,한국소설,16,0
8,2019-11-25,9,초격차,권오현,경영일반,16,0
9,2019-11-25,10,넛지 Nudge,리처드 H. 탈러/카스 R. 선스타인,경제일반,16,0
10,2019-11-25,11,나는 농담으로 과학을 말한다,오후,과학일반,16,0
11,2019-11-25,12,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,16,0
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,16,20
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,16,20
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,16,20
3,2019-11-25,4,직지,김진명,한국소설,16,20
4,2019-11-25,5,에이트,이지성,성공/삶의자세,16,20
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,16,20
6,2019-11-25,7,제왕업,메이위저/zipcy,중국 소설,16,20
7,2019-11-25,8,넛지 Nudge,리처드 H. 탈러/카스 R. 선스타인,경제일반,16,20
8,2019-11-25,9,영어책 한권 외워봤니?,김민식,성공/삶의자세,16,20
9,2019-11-25,10,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,16,20
10,2019-11-25,11,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,16,20
11,2019-11-25,12,나는 농담으로 과학을 말한다,오후,과학일반,16,20
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,16,40
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,16,40
2,2019-11-25,3,직지,김진명,한국소설,16,40
3,2019-11-25,4,해리 포터 시리즈,조앤.K.롤링,영미소설,16,40
4,2019-11-25,5,영어책 한권 외워봤니?,김민식,성공/삶의자세,16,40
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,16,40
6,2019-11-25,7,아주 작은 습관의 힘,제임스 클리어,성공/삶의자세,16,40
7,2019-11-25,8,넛지 Nudge,리처드 H. 탈러/카스 R. 선스타인,경제일반,16,40
8,2019-11-25,9,제왕업,메이위저/zipcy,중국 소설,16,40
9,2019-11-25,10,트렌드 코리아 2020,김난도,마케팅/세일즈,16,40
10,2019-11-25,11,죽여 마땅한 사람들,피터 스완슨,영미소설,16,40
11,2019-11-25,12,부의 인문학,브라운스톤,재테크/금융/부동산,16,40
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,17,0
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,17,0
2,2019-11-25,3,90년생이 온다,임홍택,경제일반,17,0
3,2019-11-25,4,에이트,이지성,성공/삶의자세,17,0
4,2019-11-25,5,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,17,0
5,2019-11-25,6,영어책 한권 외워봤니?,김민식,성공/삶의자세,17,0
6,2019-11-25,7,제왕업,메이위저/zipcy,중국 소설,17,0
7,2019-11-25,8,직지,김진명,한국소설,17,0
